YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,__row_id
2019,3,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-6.0,182608
2019,3,,WC,WINE CREDIT,REF,0.0,0.0,-58.0,194647
2019,3,,BC,BEER CREDIT,REF,0.0,0.0,-461.0,194794
2019,4,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,7.19,12.0,0.0,194915
2019,4,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.6,0.0,0.0,195020
2019,4,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,4.95,2.0,0.0,195069
2019,4,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.12,0.0,0.0,195088
2019,4,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,9.0,14.0,0.0,195097
2019,4,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-11.0,195273
2019,4,,WC,WINE CREDIT,REF,0.0,0.0,-12.0,206669
2019,4,,BC,BEER CREDIT,REF,0.0,0.0,-447.0,207528
2019,5,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,12.43,14.0,0.0,207649
2019,5,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.8,0.0,0.0,207755
2019,5,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,6.95,5.0,0.0,207807
2019,5,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.08,0.0,0.0,207830
2019,5,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,11.1,15.0,0.0,207843
2019,5,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-7.0,208009
2019,5,,BC,BEER CREDIT,REF,0.0,0.0,-20.0,220475
2019,5,,WC,WINE CREDIT,REF,0.0,0.0,-39.0,220476
2019,6,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,15.69,11.0,0.0,220599
2019,6,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.5,0.0,0.0,220702
2019,6,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,6.49,4.0,0.0,220756
2019,6,,116,WHISKEY TASTING KIT,STR_SUPPLIES,0.25,0.0,0.0,220773
2019,6,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.12,0.0,0.0,220778
2019,6,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,9.7,10.0,0.0,220788
2019,6,,120,WHISKEY BARREL,STR_SUPPLIES,6.0,0.0,0.0,220825
2019,6,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-8.0,220945
2019,6,,BC,BEER CREDIT,REF,0.0,0.0,-108.0,232805
2019,6,,WC,WINE CREDIT,REF,0.0,0.0,298.0,232806
2019,7,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,17.4,16.0,0.0,232919
2019,7,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.9,0.0,0.0,233020
2019,7,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,4.18,1.0,0.0,233076
2019,7,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.28,0.0,0.0,233097
2019,7,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,10.0,5.0,0.0,233106
2019,7,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-7.0,233266
2019,7,,BC,BEER CREDIT,REF,0.0,0.0,-133.0,245303
2019,7,,WC,WINE CREDIT,REF,0.0,0.0,-316.0,245304
2019,8,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,10.27,12.0,0.0,245422
2019,8,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.9,0.0,0.0,245517
2019,8,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,2.94,0.0,0.0,245568
2019,8,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.12,0.0,0.0,245590
2019,8,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,10.8,10.0,0.0,245599
2019,8,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-4.0,245756
2019,8,,600,ISTORE TRAINING OVERVIEW,REF,0.0,0.0,-7800.0,254066
2019,8,,BC,BEER CREDIT,REF,0.0,0.0,-46.0,257716
2019,8,,WC,WINE CREDIT,REF,0.0,0.0,-64.0,257717
2019,9,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,12.54,18.0,0.0,257835
2019,9,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.6,0.0,0.0,257932
2019,9,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,5.54,24.0,0.0,257977
2019,9,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,7.4,15.0,0.0,258009
2019,9,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,14.0,125.0,0.0,258035
2019,9,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-6.0,258170
2019,9,,BC,BEER CREDIT,REF,0.0,0.0,-200.0,270132
2019,9,,WC,WINE CREDIT,REF,0.0,0.0,-79.0,270133
2019,10,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,16.63,13.0,0.0,270255
2019,10,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.8,0.0,0.0,270341
2019,10,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,8.25,8.0,0.0,270386
2019,10,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.2,0.0,0.0,270411
2019,10,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,6.9,11.0,0.0,270417
2019,10,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,27.0,10.0,0.0,270445
2019,10,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-1.0,270575
2019,10,,2,ICE,NON-ALCOHOL,854.0,0.0,0.0,271201
2019,10,,BC,BEER CREDIT,REF,0.0,0.0,-361.0,283108
2019,10,,WC,WINE CREDIT,REF,0.0,0.0,-73.0,283109
2019,11,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,16.05,14.0,0.0,283336
2019,11,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.1,0.0,0.0,283431
2019,11,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,7.04,12.0,0.0,283477
2019,11,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.16,0.0,0.0,283496
2019,11,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,7.1,17.0,0.0,283505
2019,11,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,21.0,5.0,0.0,283530
2019,11,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-9.0,283659
2019,11,,2,ICE,NON-ALCOHOL,793.0,0.0,0.0,284289
2019,11,,BC,BEER CREDIT,REF,0.0,0.0,-123.0,296063
2019,11,,WC,WINE CREDIT,REF,0.0,0.0,-275.0,296064
2020,9,,2,ICE,NON-ALCOHOL,1445.0,0.0,0.0,296155
2020,9,,4,RMS ITEM,NON-ALCOHOL,,0.0,0.0,296161
2020,9,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,8.62,16.0,0.0,296322
2020,9,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,4.21,6.0,0.0,296429
2020,9,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.04,0.0,0.0,296448
2020,9,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,5.2,0.0,0.0,296457
2020,9,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,2.0,0.0,0.0,296480
2020,9,,123,HOLIDAY TOTE FOIL BAG,STR_SUPPLIES,0.25,0.0,0.0,296538
2020,9,,3,COUPON,NON-ALCOHOL,,0.0,0.0,299122
2020,9,,WC,WINE CREDIT,REF,0.0,0.0,-70.0,307644
