YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,__row_id
2020,1,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,14.69,18.0,0.0,106
2020,1,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.4,0.0,0.0,188
2020,1,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,5.71,6.0,0.0,231
2020,1,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.08,0.0,0.0,252
2020,1,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,7.4,10.0,0.0,261
2020,1,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,9.0,32.0,0.0,281
2020,1,,120,WHISKEY BARREL,STR_SUPPLIES,4.0,0.0,0.0,295
2020,1,,123,HOLIDAY TOTE FOIL BAG,STR_SUPPLIES,3.89,0.0,0.0,344
2020,1,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-12.0,405
2020,1,,2,ICE,NON-ALCOHOL,542.0,0.0,0.0,981
2020,1,,BC,BEER CREDIT,REF,0.0,0.0,-1028.0,11985
2020,1,,WC,WINE CREDIT,REF,0.0,0.0,-77.0,11986
2020,7,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,12.51,17.0,0.0,12118
2020,7,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.2,0.0,0.0,12199
2020,7,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,5.47,8.0,0.0,12229
2020,3,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,4.74,4.0,0.0,12239
2020,7,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,7.1,14.0,0.0,12255
2020,7,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,8.0,0.0,0.0,12275
2020,7,,123,HOLIDAY TOTE FOIL BAG,STR_SUPPLIES,0.08,0.0,0.0,12325
2020,7,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-2.0,12382
2020,7,,2,ICE,NON-ALCOHOL,2739.0,0.0,0.0,12941
2020,7,,4,RMS ITEM,NON-ALCOHOL,,0.0,0.0,18390
2020,7,,BC,BEER CREDIT,REF,0.0,0.0,-190.0,23212
2020,7,,WC,WINE CREDIT,REF,0.0,0.0,-34.0,23213
2020,3,,123,HOLIDAY TOTE FOIL BAG,STR_SUPPLIES,0.16,0.0,0.0,23230
2020,3,,2,ICE,NON-ALCOHOL,561.0,0.0,0.0,23231
2020,9,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.1,0.0,0.0,23276
2020,3,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,17.06,11.0,0.0,23348
2020,3,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.6,0.0,0.0,23430
2020,3,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,5.1,5.0,0.0,23497
2020,3,,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,15.0,0.0,0.0,23518
2020,3,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-2.0,23628
2020,3,,BC,BEER CREDIT,REF,0.0,0.0,-6.0,34699
2020,3,,WC,WINE CREDIT,REF,0.0,0.0,-26.0,34700
2017,6,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-9.0,35520
2017,6,,BC,BEER CREDIT,REF,0.0,0.0,-58.0,48327
2017,6,,WC,WINE CREDIT,REF,0.0,0.0,-8.0,48328
2017,7,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-1.0,49028
2017,7,,BC,BEER CREDIT,REF,0.0,0.0,-18.0,61349
2017,7,,WC,WINE CREDIT,REF,0.0,0.0,-40.0,61350
2017,8,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-5.0,62074
2017,8,,BC,BEER CREDIT,REF,0.0,0.0,-699.0,74939
2017,8,,WC,WINE CREDIT,REF,0.0,0.0,-5.0,74940
2017,9,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-9.0,75609
2017,9,,BC,BEER CREDIT,REF,0.0,0.0,-502.0,88348
2017,9,,WC,WINE CREDIT,REF,0.0,0.0,-15.0,88349
2017,10,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-6.0,89009
2017,10,REPUBLIC NATIONAL DISTRIBUTING CO,347939,FONTANAFREDDA BAROLO SILVER LABEL 750 ML,,0.0,0.0,1.0,95531
2017,10,,BC,BEER CREDIT,REF,0.0,0.0,-1308.0,101974
2017,10,,WC,WINE CREDIT,REF,0.0,0.0,-21.0,101975
2017,11,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-5.0,102642
2017,11,,BC,BEER CREDIT,REF,0.0,0.0,-1755.0,116506
2017,11,,WC,WINE CREDIT,REF,0.0,0.0,-375.0,116507
2017,12,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-8.0,117151
2017,12,,BC,BEER CREDIT,REF,0.0,0.0,-1644.0,130984
2017,12,,WC,WINE CREDIT,REF,0.0,0.0,-156.0,130985
2018,1,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-11.0,131615
2018,1,,BC,BEER CREDIT,REF,0.0,0.0,-21.0,144328
2018,1,,WC,WINE CREDIT,REF,0.0,0.0,-71.0,144329
2018,2,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-3.0,144949
2018,2,,BC,BEER CREDIT,REF,0.0,0.0,-35.0,157428
2018,2,,WC,WINE CREDIT,REF,0.0,0.0,-81.0,157429
2019,1,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,9.55,4.92,0.0,157558
2019,1,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,1.9,2.0,0.0,157667
2019,1,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,5.67,5.0,0.0,157719
2019,1,,116,WHISKEY TASTING KIT,STR_SUPPLIES,0.25,2.0,0.0,157739
2019,1,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.28,4.0,0.0,157744
2019,1,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,3.2,8.0,0.0,157753
2019,1,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-9.0,157938
2019,1,,BC,BEER CREDIT,REF,0.0,0.0,-1324.0,169821
2019,1,,WC,WINE CREDIT,REF,0.0,0.0,-10.0,169822
2019,2,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,4.13,0.0,0.0,169939
2019,2,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,1.3,0.0,0.0,170034
2019,2,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,6.8,1.0,0.0,170086
2019,2,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.12,0.0,0.0,170110
2019,2,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,6.7,4.0,0.0,170119
2019,2,,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-6.0,170296
2019,2,,BC,BEER CREDIT,REF,0.0,0.0,-164.0,182110
2019,2,,WC,WINE CREDIT,REF,0.0,0.0,-441.0,182111
2019,3,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,10.25,17.0,0.0,182240
2019,3,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.8,0.0,0.0,182345
2019,3,,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,6.27,10.0,0.0,182398
2019,3,,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.08,0.0,0.0,182419
2019,3,,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,6.0,31.0,0.0,182429
